Dados obtidos a partir do Sistema de Informação de Solos Brasileiros - BDSOLOS, esclarecimentos quanto ao uso disponível em:  http://www.bdsolos.cnptia.embrapa.br/esclarecimentos_uso.pdf

"Localização descritiva";"UF";"Município";"Altitude (m)";"Sistema de Coordenada";"Datum";"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Latitude Hemisfério";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Longitude Hemisfério";"Northing";"Easting";"pH - H2O";"pH - KCl";"pH - CaCl2";"Complexo Sortivo - Cálcio (cmolc/kg)";"Complexo Sortivo - Magnésio";"Complexo Sortivo - Ca + Mg";"Complexo Sortivo - Potássio";"Complexo Sortivo - Sódio";"Complexo Sortivo - Valor S (Ca2++Mg2++K++Na+)";"Complexo Sortivo - Hidrogênio (H+)";"Complexo Sortivo - Alumínio Trocável (Al3+)";"Complexo Sortivo - Valor T (S+H++Al3+)";"Complexo Sortivo - Valor V &Delta; Saturação por Bases (100. S/T)%";"Complexo Sortivo - Saturação por Alumínio (100. Al3+/S+Al3+)%";"Ataque sulfúrico - SiO2";"Ataque sulfúrico - Al2O3";"Ataque sulfúrico - Fe2O3";"Ataque sulfúrico - TiO2";"Ataque sulfúrico - P2O5";"Ataque sulfúrico - MnO";"Ataque sulfúrico - SiO2 / Al2O3 (Ki)";"Ataque sulfúrico - SiO2 / R2O3 (Kr)";"Ataque sulfúrico - Al2O3 / Fe2O3";"Fósforo assimilável (mg/kg)";"Carbono orgânico";"Nitrogênio total";"Relação C/N (%)";"Água da pasta de saturação";"Saturação por Sódio (100.Na+/T)";"Condutividade Elétrica";"Sais Solúveis do Extrato da Saturação - Cálcio";"Sais Solúveis do Extrato da Saturação - Magnésio";"Sais Solúveis do Extrato da Saturação - Potássio";"Sais Solúveis do Extrato da Saturação - Sódio";"Sais Solúveis do Extrato da Saturação - Carbonatos";"Sais Solúveis do Extrato da Saturação - Cloretos";"Sais Solúveis do Extrato da Saturação - Bicarbonatos";"Sais Solúveis do Extrato da Saturação - Sulfatos";"Ponto de Carga Zero";"Adsorção de Fosfato";"Enxofre";"Equivalente de Carbonato de Cálcio";"CDB - Ferro (g/kg)";"CDB - Alumínio (g/kg)";"CDB - Manganês (g/kg)";"Oxalato de Amônio - Ferro";"Oxalato de Amônio - Alumínio";"Oxalato de Amônio - Sílica";"Pirofosfato de Sódio - Ferro";"Pirofosfato de Sódio - Alumínio";"Microelementos - Ferro";"Microelementos - Manganês";"Microelementos - Cobre";"Microelementos - Zinco";"Microelementos - Níquel";"Microelementos - Boro";"Microelementos - Molibidênio";"Microelementos - Cobalto";"Microelementos - Cádmio";"Microelementos - Cromo";"Microelementos - Selênio";"Microelementos - Chumbo";"Microelementos - Mercúrio";"Microelementos - Arsênio";"Microelementos - Silício";"Informações adicionais da análise química";
"Município de Aripuanã, Estado de Mato Grosso Lat. 08°56'S e Long. 58°55'WGr. Folha SC.21-V-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"8";"56";"";"Sul";"58";"55";"";"Oeste";"";"";"4.3";"4";"";"0.15";"0.11";"0.26";"0.03";"0.16";"0.5";"0.4";"0.9";"1.8";"28";"64";"";"";"";"";"";"";"";"";"";"0,1";"8";"";"0";"";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso Lat. 08°56'S e Long. 58°55'WGr. Folha SC.21-V-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"8";"56";"";"Sul";"58";"55";"";"Oeste";"";"";"4.4";"4.3";"";"0.15";"0.11";"0.26";"0.03";"0.18";"0.5";"0.26";"0.49";"1.25";"40";"49";"";"";"";"";"";"";"";"";"";"0,1";"5";"8.6";"1";"";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso Lat. 08°56'S e Long. 58°55'WGr. Folha SC.21-V-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"8";"56";"";"Sul";"58";"55";"";"Oeste";"";"";"4.4";"4.1";"";"0.2";"0.11";"0.31";"0.03";"0.2";"0.5";"0.44";"0.7";"1.64";"30";"58";"";"";"";"";"";"";"";"";"";"0,1";"6";"10.3";"1";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 11°45'S e Long. 56°55'WGr. Folha SC.21-Z-C.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"11";"45";"";"Sul";"56";"55";"";"Oeste";"";"";"4.4";"3.8";"";"0.15";"0.02";"0.17";"0.06";"0.02";"0.3";"0.56";"0.67";"1.53";"20";"69";"";"";"";"";"";"";"";"";"";"0,2";"14";"";"0";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 11°45'S e Long. 56°55'WGr. Folha SC.21-Z-C.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"11";"45";"";"Sul";"56";"55";"";"Oeste";"";"";"4.2";"4";"";"0.25";"0.05";"0.3";"0.02";"0.02";"0.3";"0.3";"0.56";"1.16";"26";"65";"";"";"";"";"";"";"";"";"";"0,1";"6";"";"0";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 11°45'S e Long. 56°55'WGr. Folha SC.21-Z-C.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"11";"45";"";"Sul";"56";"55";"";"Oeste";"";"";"4.3";"4.1";"";"0.22";"0.02";"0.24";"0.02";"0.02";"0.3";"0.17";"0.29";"0.76";"39";"49";"";"";"";"";"";"";"";"";"";"0,1";"5";"";"0";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 11°45'S e Long. 56°55'WGr. Folha SC.21-Z-C.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"11";"45";"";"Sul";"56";"55";"";"Oeste";"";"";"4.5";"4.3";"";"0.22";"0.02";"0.24";"0.02";"0.02";"0.3";"0.17";"0.57";"1.04";"29";"66";"";"";"";"";"";"";"";"";"";"0,1";"3";"";"0";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 11°45'S e Long. 56°55'WGr. Folha SC.21-Z-C.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"11";"45";"";"Sul";"56";"55";"";"Oeste";"";"";"4.8";"4.7";"";"0.22";"0.02";"0.24";"0.02";"0.02";"0.3";"0.22";"0.02";"0.54";"56";"6";"";"";"";"";"";"";"";"";"";"0,1";"2";"";"0";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 11°45'S e Long. 56°55'WGr. Folha SC.21-Z-C.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"11";"45";"";"Sul";"56";"55";"";"Oeste";"";"";"5.2";"4.9";"";"0.2";"0.02";"0.22";"0.02";"0.02";"0.3";"0.25";"0.02";"0.57";"53";"6";"";"";"";"";"";"";"";"";"";"0,1";"2";"";"0";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso, a 5 km do rio Paranaíta sentido oeste (Fazenda Mognol na MT-208). Folha SC.21-X-C.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4";"3.9";"";"0.9";"0.17";"1.07";"0.2";"0.09";"1.4";"13.96";"0.6";"15.96";"9";"30";"";"";"";"";"";"";"";"";"";"";"37";"2.5";"15";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso, a 5 km do rio Paranaíta sentido oeste (Fazenda Mognol na MT-208). Folha SC.21-X-C.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso, a 5 km do rio Paranaíta sentido oeste (Fazenda Mognol na MT-208). Folha SC.21-X-C.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.7";"4.2";"";"0.8";"0.06";"0.86";"0.25";"0.1";"1.2";"9.09";"0.7";"10.99";"11";"37";"";"";"";"";"";"";"";"";"";"";"18";"1.2";"15";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso, a 5 km do rio Paranaíta sentido oeste (Fazenda Mognol na MT-208). Folha SC.21-X-C.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"5.4";"";"0.7";"0.1";"0.8";"0.1";"0.1";"1";"7.2";"0.6";"8.8";"11";"38";"";"";"";"";"";"";"";"";"";"";"14";"0.8";"18";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso, a 5 km do rio Paranaíta sentido oeste (Fazenda Mognol na MT-208). Folha SC.21-X-C.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.1";"4.4";"";"0.7";"0.08";"0.78";"0.1";"0.07";"0.9";"6.62";"0.6";"8.12";"11";"40";"";"";"";"";"";"";"";"";"";"";"12";"0.7";"17";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso, a 5 km do rio Paranaíta sentido oeste (Fazenda Mognol na MT-208). Folha SC.21-X-C.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.3";"4.4";"";"1";"0.2";"1.2";"0.03";"0.06";"1.3";"5.19";"0.4";"6.89";"19";"24";"";"";"";"";"";"";"";"";"";"";"10";"0.6";"17";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso, a 5 km do rio Paranaíta sentido oeste (Fazenda Mognol na MT-208). Folha SC.21-X-C.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.2";"4.6";"";"1.18";"0.2";"1.38";"0.03";"0.07";"1.5";"4.44";"0";"5.94";"25";"0";"";"";"";"";"";"";"";"";"";"";"8";"0.5";"16";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso. Lat 10°55'S e 59°21'WGr. Folha SC.21-Y-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"10";"55";"";"Sul";"59";"21";"";"Oeste";"";"";"4.1";"3.7";"";"0.12";"0.06";"0.18";"0.3";"0.03";"0.5";"14";"4.2";"18.7";"3";"89";"121.9";"244.2";"94";"";"";"";"0.85";"0.68";"4.08";"";"28";"2.4";"12";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso. Lat 10°55'S e 59°21'WGr. Folha SC.21-Y-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"10";"55";"";"Sul";"59";"21";"";"Oeste";"";"";"4.4";"3.8";"";"0.13";"0.07";"0.2";"0.15";"0.03";"0.4";"10.44";"2.5";"13.34";"3";"86";"";"";"";"";"";"";"";"";"";"";"14";"1.2";"12";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso. Lat 10°55'S e 59°21'WGr. Folha SC.21-Y-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"10";"55";"";"Sul";"59";"21";"";"Oeste";"";"";"4.6";"3.8";"";"0.12";"0.05";"0.17";"0.1";"0.05";"0.3";"8.8";"1.5";"10.6";"3";"83";"156.1";"282.7";"100";"";"";"";"0.94";"0.77";"4.44";"";"9";"0.6";"15";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso. Lat 10°55'S e 59°21'WGr. Folha SC.21-Y-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"10";"55";"";"Sul";"59";"21";"";"Oeste";"";"";"5.3";"4";"";"0.1";"0.03";"0.13";"0.06";"0.06";"0.3";"8.28";"0.7";"9.28";"3";"70";"";"";"";"";"";"";"";"";"";"";"6";"0.5";"12";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Aripuanã, Estado de Mato Grosso. Lat 10°55'S e 59°21'WGr. Folha SC.21-Y-A.";"MT";"Aripuanã";"";"Latitude / Longitude";"";"10";"55";"";"Sul";"59";"21";"";"Oeste";"";"";"5.2";"4.1";"";"0.11";"0.04";"0.15";"0.04";"0.05";"0.2";"8.28";"0.7";"9.18";"2";"78";"160.4";"277.4";"96";"";"";"";"0.98";"0.81";"4.54";"";"5";"0.4";"13";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso Lat. 10°15'S e Long. 54°50'WGr. Folha SC.21-Z-B.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"10";"15";"";"Sul";"54";"50";"";"Oeste";"";"";"4.2";"4";"";"0.15";"0.05";"0.2";"0.06";"0.02";"0.3";"5.74";"0.5";"6.54";"5";"63";"190";"196";"74";"";"";"";"1.65";"1.33";"4.16";"";"14";"0.4";"35";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso Lat. 10°15'S e Long. 54°50'WGr. Folha SC.21-Z-B.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"10";"15";"";"Sul";"54";"50";"";"Oeste";"";"";"4.8";"4.2";"";"0.18";"0.02";"0.2";"0.03";"0.01";"0.2";"4.67";"0.6";"5.47";"4";"75";"191";"226";"86";"";"";"";"1.44";"1.16";"4.13";"";"9";"0.6";"15";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso Lat. 10°15'S e Long. 54°50'WGr. Folha SC.21-Z-B.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"10";"15";"";"Sul";"54";"50";"";"Oeste";"";"";"5.1";"4.9";"";"0.06";"0.06";"0.12";"0.02";"0.02";"0.2";"3.36";"0.1";"3.66";"5";"33";"216";"242";"87";"";"";"";"1.52";"1.23";"4.37";"";"6";"0.3";"20";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso Lat. 10°15'S e Long. 54°50'WGr. Folha SC.21-Z-B.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"10";"15";"";"Sul";"54";"50";"";"Oeste";"";"";"5.7";"5.5";"";"0.07";"0.05";"0.12";"0.02";"0.02";"0.2";"2.84";"0.1";"3.14";"6";"33";"223";"232";"82";"";"";"";"1.63";"1.33";"4.44";"";"4";"0.3";"13";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso Lat. 10°15'S e Long. 54°50'WGr. Folha SC.21-Z-B.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"10";"15";"";"Sul";"54";"50";"";"Oeste";"";"";"5.7";"5.4";"";"0.06";"0.02";"0.08";"0.01";"0.01";"0.1";"1.9";"0";"2";"5";"0";"259";"242";"80";"";"";"";"1.82";"1.5";"4.75";"";"3";"0.2";"15";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso Lat. 10°15'S e Long. 54°50'WGr. Folha SC.21-Z-B.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"10";"15";"";"Sul";"54";"50";"";"Oeste";"";"";"5.6";"4.8";"";"0.1";"0.04";"0.14";"0.03";"0.01";"0.2";"0.82";"0";"1.02";"20";"0";"204";"229";"75";"";"";"";"1.51";"1.25";"4.79";"";"1";"0.1";"10";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso, a 39 km do Sinop no sentido de Santarém na BR-163. Folha SC.21-Z-D.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.3";"4";"";"0.22";"0.02";"0.24";"0.04";"0.02";"0.3";"2.71";"0.4";"3.41";"9";"57";"44";"46";"34";"";"";"";"1.63";"1.11";"2.12";"";"8";"0.8";"10";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso, a 39 km do Sinop no sentido de Santarém na BR-163. Folha SC.21-Z-D.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.5";"4.2";"";"0.15";"0.05";"0.2";"0.02";"0.01";"0.2";"1.8";"0.3";"2.3";"9";"60";"58";"63";"35";"";"";"";"1.57";"1.16";"2.83";"4";"0.3";"";"0";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso, a 39 km do Sinop no sentido de Santarém na BR-163. Folha SC.21-Z-D.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.9";"4.3";"";"0.18";"0.2";"0.38";"0.03";"0.03";"0.4";"0.74";"0";"1.14";"35";"0";"65";"82";"43";"";"";"";"1.35";"1.01";"2.99";"";"3";"0.2";"15";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Chapada dos Guimarães, Estado de Mato Grosso, a 39 km do Sinop no sentido de Santarém na BR-163. Folha SC.21-Z-D.";"MT";"Chapada dos Guimarães";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.6";"4.5";"";"0.12";"0.06";"0.18";"0.01";"0.02";"0.2";"0.79";"0";"0.99";"20";"0";"78";"102";"47";"";"";"";"1.3";"1";"3.41";"";"2";"0.1";"20";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Diamantino, Estado de Mato Grosso Lat. 11°42'S e Long. 58°13'WGr. Folha SC.21-Y-D.";"MT";"Diamantino";"";"Latitude / Longitude";"";"11";"42";"";"Sul";"58";"13";"";"Oeste";"";"";"5.5";"5.1";"";"5";"1.25";"6.25";"0.12";"0.05";"6.4";"2.99";"0.3";"9.69";"66";"4";"";"";"";"";"";"";"";"";"";"";"31";"2";"16";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Diamantino, Estado de Mato Grosso Lat. 11°42'S e Long. 58°13'WGr. Folha SC.21-Y-D.";"MT";"Diamantino";"";"Latitude / Longitude";"";"11";"42";"";"Sul";"58";"13";"";"Oeste";"";"";"5.9";"5.4";"";"3.1";"1.4";"4.5";"0.09";"0.06";"4.6";"2.97";"0.3";"7.87";"58";"6";"";"";"";"";"";"";"";"";"";"";"18";"1";"18";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Diamantino, Estado de Mato Grosso Lat. 11°42'S e Long. 58°13'WGr. Folha SC.21-Y-D.";"MT";"Diamantino";"";"Latitude / Longitude";"";"11";"42";"";"Sul";"58";"13";"";"Oeste";"";"";"6.2";"5.8";"";"1.5";"0.4";"1.9";"0.04";"0.03";"2";"2.66";"0";"4.66";"43";"0";"";"";"";"";"";"";"";"";"";"";"9";"0.7";"13";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Diamantino, Estado de Mato Grosso Lat. 11°42'S e Long. 58°13'WGr. Folha SC.21-Y-D.";"MT";"Diamantino";"";"Latitude / Longitude";"";"11";"42";"";"Sul";"58";"13";"";"Oeste";"";"";"6.6";"5.9";"";"1.3";"0.2";"1.5";"0.02";"0.03";"1.6";"2.39";"0";"3.99";"40";"0";"";"";"";"";"";"";"";"";"";"";"6";"0.5";"12";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Diamantino, Estado de Mato Grosso Lat. 11°42'S e Long. 58°13'WGr. Folha SC.21-Y-D.";"MT";"Diamantino";"";"Latitude / Longitude";"";"11";"42";"";"Sul";"58";"13";"";"Oeste";"";"";"6.6";"6.5";"";"0.78";"0.12";"0.9";"0.03";"0.03";"1";"2.65";"0";"3.65";"27";"0";"";"";"";"";"";"";"";"";"";"";"6";"0.3";"20";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Diamantino, Estado de Mato Grosso Lat. 11°42'S e Long. 58°13'WGr. Folha SC.21-Y-D.";"MT";"Diamantino";"";"Latitude / Longitude";"";"11";"42";"";"Sul";"58";"13";"";"Oeste";"";"";"6.8";"6.4";"";"0.48";"0.12";"0.6";"0.04";"0.03";"0.7";"1.85";"0";"2.55";"27";"0";"";"";"";"";"";"";"";"";"";"";"4";"0.2";"20";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 10°46'S e Long. 57°39'WGr. Folha SC.21-Y-B.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"10";"46";"";"Sul";"57";"39";"";"Oeste";"";"";"5.2";"4.6";"";"1.8";"0.3";"2.1";"0.21";"0.06";"2.4";"3.74";"0";"6.14";"39";"0";"";"";"";"";"";"";"";"";"";"";"13";"1.3";"10";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 10°46'S e Long. 57°39'WGr. Folha SC.21-Y-B.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"10";"46";"";"Sul";"57";"39";"";"Oeste";"";"";"5.6";"4.7";"";"1.38";"0.62";"2";"0.12";"0.05";"2.2";"3.53";"0";"5.73";"38";"0";"";"";"";"";"";"";"";"";"";"";"7";"0.5";"14";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 10°46'S e Long. 57°39'WGr. Folha SC.21-Y-B.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"10";"46";"";"Sul";"57";"39";"";"Oeste";"";"";"5.7";"5";"";"0.53";"0.4";"0.93";"0.07";"0.03";"1";"5.17";"0.1";"6.27";"16";"9";"";"";"";"";"";"";"";"";"";"";"5";"0.4";"13";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 10°46'S e Long. 57°39'WGr. Folha SC.21-Y-B.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"10";"46";"";"Sul";"57";"39";"";"Oeste";"";"";"5.7";"5.1";"";"0.8";"0.21";"1.01";"0.06";"0.05";"1.1";"5.09";"0.1";"6.29";"17";"8";"";"";"";"";"";"";"";"";"";"";"4";"0.4";"10";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Município de Porto dos Gaúchos, Estado de Mato Grosso Lat. 10°46'S e Long. 57°39'WGr. Folha SC.21-Y-B.";"MT";"Porto dos Gaúchos";"";"Latitude / Longitude";"";"10";"46";"";"Sul";"57";"39";"";"Oeste";"";"";"5.6";"5.2";"";"0.7";"0.1";"0.8";"0.05";"0.03";"0.9";"5.15";"0.1";"6.15";"15";"10";"";"";"";"";"";"";"";"";"";"";"5";"0.4";"13";"";"< 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
