Dados obtidos a partir do Sistema de Informação de Solos Brasileiros - BDSOLOS, esclarecimentos quanto ao uso disponível em:  http://www.bdsolos.cnptia.embrapa.br/esclarecimentos_uso.pdf

"Localização descritiva";"UF";"Município";"Altitude (m)";"Sistema de Coordenada";"Datum";"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Latitude Hemisfério";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Longitude Hemisfério";"Northing";"Easting";"pH - H2O";"pH - KCl";"pH - CaCl2";"Complexo Sortivo - Cálcio (cmolc/kg)";"Complexo Sortivo - Magnésio";"Complexo Sortivo - Ca + Mg";"Complexo Sortivo - Potássio";"Complexo Sortivo - Sódio";"Complexo Sortivo - Valor S (Ca2++Mg2++K++Na+)";"Complexo Sortivo - Hidrogênio (H+)";"Complexo Sortivo - Alumínio Trocável (Al3+)";"Complexo Sortivo - Valor T (S+H++Al3+)";"Complexo Sortivo - Valor V &Delta; Saturação por Bases (100. S/T)%";"Complexo Sortivo - Saturação por Alumínio (100. Al3+/S+Al3+)%";"Ataque sulfúrico - SiO2";"Ataque sulfúrico - Al2O3";"Ataque sulfúrico - Fe2O3";"Ataque sulfúrico - TiO2";"Ataque sulfúrico - P2O5";"Ataque sulfúrico - MnO";"Ataque sulfúrico - SiO2 / Al2O3 (Ki)";"Ataque sulfúrico - SiO2 / R2O3 (Kr)";"Ataque sulfúrico - Al2O3 / Fe2O3";"Fósforo assimilável (mg/kg)";"Carbono orgânico";"Nitrogênio total";"Relação C/N (%)";"Água da pasta de saturação";"Saturação por Sódio (100.Na+/T)";"Condutividade Elétrica";"Sais Solúveis do Extrato da Saturação - Cálcio";"Sais Solúveis do Extrato da Saturação - Magnésio";"Sais Solúveis do Extrato da Saturação - Potássio";"Sais Solúveis do Extrato da Saturação - Sódio";"Sais Solúveis do Extrato da Saturação - Carbonatos";"Sais Solúveis do Extrato da Saturação - Cloretos";"Sais Solúveis do Extrato da Saturação - Bicarbonatos";"Sais Solúveis do Extrato da Saturação - Sulfatos";"Ponto de Carga Zero";"Adsorção de Fosfato";"Enxofre";"Equivalente de Carbonato de Cálcio";"CDB - Ferro (g/kg)";"CDB - Alumínio (g/kg)";"CDB - Manganês (g/kg)";"Oxalato de Amônio - Ferro";"Oxalato de Amônio - Alumínio";"Oxalato de Amônio - Sílica";"Pirofosfato de Sódio - Ferro";"Pirofosfato de Sódio - Alumínio";"Microelementos - Ferro";"Microelementos - Manganês";"Microelementos - Cobre";"Microelementos - Zinco";"Microelementos - Níquel";"Microelementos - Boro";"Microelementos - Molibidênio";"Microelementos - Cobalto";"Microelementos - Cádmio";"Microelementos - Cromo";"Microelementos - Selênio";"Microelementos - Chumbo";"Microelementos - Mercúrio";"Microelementos - Arsênio";"Microelementos - Silício";"Informações adicionais da análise química";
"estrada Castanheira?Juruena, a 72km da primeira.
Município de Juruena, MT.";"MT";"Juruena";"240";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.3";"4.5";"";"2.2";"0.6";"";"0.12";"0.02";"2.9";"1.3";"0";"4.2";"69";"0";"5.4";"4.1";"1";"0.15";"";"";"2.24";"1.94";"6.48";"2";"7.9";"1.1";"7";"";"<1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"estrada Castanheira?Juruena, a 72km da primeira.
Município de Juruena, MT.";"MT";"Juruena";"240";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.3";"3.9";"";"";"";"0.8";"0.64";"0.05";"1.5";"0.9";"0";"2.4";"63";"0";"103";"103";"15";"1.8";"";"";"1.7";"1.56";"10.74";"<1";"1.5";"0.4";"4";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"estrada Castanheira?Juruena, a 72km da primeira.
Município de Juruena, MT.";"MT";"Juruena";"240";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.3";"4.4";"";"1.1";"0.4";"";"0.017";"0.04";"1.7";"0.7";"0";"2.4";"71";"0";"155";"160";"30";"3.1";"";"";"1.65";"1.47";"8.39";"<1";"0.8";"0.4";"2";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cáceres-Destacamente de Corixa, 3 km após o rio Jauru, em direção a Corixa, lado esquerdo a 50 metros da estrada. Cáceres, MT.";"MT";"Cáceres";"190";"Latitude / Longitude";"";"16";"9";"0";"Sul";"58";"1";"0";"Oeste";"";"";"6";"4.9";"";"2.7";"0.9";"";"0.13";"0.02";"3.8";"2.3";"0";"6.1";"62";"0";"61";"42";"15";"3";"";"";"2.47";"2.01";"4.38";"<1";"11.2";"1";"11";"";"<1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cáceres-Destacamente de Corixa, 3 km após o rio Jauru, em direção a Corixa, lado esquerdo a 50 metros da estrada. Cáceres, MT.";"MT";"Cáceres";"190";"Latitude / Longitude";"";"16";"9";"0";"Sul";"58";"1";"0";"Oeste";"";"";"5.7";"4.5";"";"1";"0.8";"";"0.04";"0.01";"1.9";"1.6";"0.2";"3.7";"51";"10";"68";"47";"16";"3.4";"";"";"2.46";"2.02";"4.61";"<1";"6.5";"0.6";"11";"";"<1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cáceres-Destacamente de Corixa, 3 km após o rio Jauru, em direção a Corixa, lado esquerdo a 50 metros da estrada. Cáceres, MT.";"MT";"Cáceres";"190";"Latitude / Longitude";"";"16";"9";"0";"Sul";"58";"1";"0";"Oeste";"";"";"5.2";"4.1";"";"1.2";"0.3";"";"0.03";"0.01";"1.5";"1.1";"0.5";"3.1";"48";"25";"101";"71";"20";"4.2";"";"";"2.42";"2.05";"5.57";"<1";"4.6";"0.5";"9";"";"<1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cáceres-Destacamente de Corixa, 3 km após o rio Jauru, em direção a Corixa, lado esquerdo a 50 metros da estrada. Cáceres, MT.";"MT";"Cáceres";"190";"Latitude / Longitude";"";"16";"9";"0";"Sul";"58";"1";"0";"Oeste";"";"";"5.1";"3.8";"";"";"";"0.8";"0.03";"0.02";"0.9";"1.1";"1.1";"3.1";"29";"55";"135";"95";"23";"4.8";"";"";"2.42";"2.09";"6.47";"<1";"3.5";"0.5";"7";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cáceres-Destacamente de Corixa, 3 km após o rio Jauru, em direção a Corixa, lado esquerdo a 50 metros da estrada. Cáceres, MT.";"MT";"Cáceres";"190";"Latitude / Longitude";"";"16";"9";"0";"Sul";"58";"1";"0";"Oeste";"";"";"5.2";"3.7";"";"";"";"0.4";"0.03";"0.02";"0.5";"0.3";"1.8";"2.6";"19";"78";"131";"96";"25";"4.6";"";"";"2.32";"1.99";"6.03";"<1";"2.8";"0.4";"7";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cáceres-Destacamente de Corixa, 3 km após o rio Jauru, em direção a Corixa, lado esquerdo a 50 metros da estrada. Cáceres, MT.";"MT";"Cáceres";"190";"Latitude / Longitude";"";"16";"9";"0";"Sul";"58";"1";"0";"Oeste";"";"";"6";"3.8";"";"";"";"0.2";"0.03";"0.02";"0.3";"0.2";"1.6";"2.1";"14";"84";"122";"89";"23";"4.8";"";"";"2.33";"2";"6.06";"<1";"2.4";"0.4";"6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"A 11 km do entroncamento Cáceres-P. Esperidião-Mirassol d'Oeste, em direção a Mirassol d'Oeste. Mirassol d'Oeste, MT.";"MT";"Mirassol d'Oeste";"230";"Latitude / Longitude";"";"15";"44";"0";"Sul";"58";"5";"0";"Oeste";"";"";"5.4";"4.2";"";"1";"0.3";"";"0.01";"0.03";"1.4";"4.2";"0.2";"5.8";"24";"13";"87";"59";"20";"2.8";"";"";"2.51";"2.06";"4.62";"<1";"5.1";"0.5";"10";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
